,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
VIETNAM ENTERPRISE INVESTMENTS LIMITED,Equity Investment Instruments,Equity Investment Instruments,1027.63,468,nan,nan,nan,2016
VIETNAM HOLDING LIMITED,Equity Investment Instruments,Equity Investment Instruments,93.47,2.29,234.06,nan,nan,2018
VINACAPITAL VIETNAM OPPORTUNITY FUND LD,Equity Investment Instruments,Equity Investment Instruments,640.52,344,411.15,nan,3.51,2018
VIVO ENERGY PLC,General Retailers,Specialty Retailers,1538.3,130.78,11521.91,91.26,20.23,2017
VODAFONE GROUP PLC,Mobile Telecommunications,Mobile Telecommunications,37301.67,136.5,79.37,57.04,6.81,2018
VOLEX PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,136.17,92.4,38.69,-20.66,nan,2018
VOLUTION GROUP PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,302.81,153.5,-25.94,nan,2.19,2018
VOLVERE PLC,Financial Services,Specialty Finance,32.9,1055,648.74,-39.18,nan,2017
VP PLC,Support Services,Business Support Services,412.58,1027.5,159.19,116.03,3.06,2018
VPC SPECIALTY LENDING INVESTMENTS PLC,Financial Services,Consumer Finance,276.2,77.5,nan,nan,nan,2016
VR EDUCATION HOLDINGS PLC,Software &amp; Computer Services,Software,18.35,9.5,nan,nan,nan,nan
W RESOURCES PLC,Mining,General Mining,26.65,0.45,0.05,-0.67,nan,2017
W.H. IRELAND GROUP PLC,Financial Services,Investment Services,20.4,64,30.73,-54.34,nan,2018
WALKER CRIPS GROUP PLC,Financial Services,Investment Services,14.26,33.5,23.24,nan,4.92,2018
WALKER GREENBANK PLC,Household Goods &amp; Home Construction,Furnishings,52.17,71,42.08,8.54,3.43,2018
WANDISCO PLC,Software &amp; Computer Services,Software,351.29,770,19.41,-132.26,nan,2017
WAREHOUSE REIT PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,172.64,102,nan,71.11,nan,2018
WARPAINT LONDON PLC,Personal Goods,Personal Products,69.84,91,28.39,-4.88,1.65,2017
WATCHSTONE GROUP PLC,Software &amp; Computer Services,Computer Services,43.83,95.2,93.09,-87.22,nan,2017
WATER INTELLIGENCE PLC,Support Services,Business Support Services,47.23,310,1.54,21.16,nan,2017
WATKIN JONES PLC,Household Goods &amp; Home Construction,Home Construction,574.35,223.5,nan,-32.48,9,2017
WEBIS HOLDINGS PLC,Travel &amp; Leisure,Gambling,11.41,2.7,0.36,nan,nan,2017
WEIR GROUP PLC,Industrial Engineering,Industrial Machinery,4207.83,1599.5,-35.73,57.37,0.91,2017
WEISS KOREA OPPORTUNITY FUND LTD.,Equity Investment Instruments,Equity Investment Instruments,127.81,151.5,150.27,nan,nan,2017
WESTMINSTER GROUP PLC,Support Services,Business Support Services,13.84,9.75,nan,nan,nan,2017
WETHERSPOON ( J.D.) PLC,Travel &amp; Leisure,Restaurants &amp; Bars,1370.46,1309,248.13,253.42,0.98,2018
WEY EDUCATION PLC,Support Services,Business Support Services,10.46,8,-1.36,nan,-96.4,2017
WH SMITH PLC,General Retailers,Specialty Retailers,2242.99,2122,108.11,-2.14,2.61,2017
WHITBREAD PLC,Travel &amp; Leisure,Restaurants &amp; Bars,8861.53,4908,1362.81,29.72,2.64,2018
WILLIAM HILL PLC,Travel &amp; Leisure,Gambling,1609.59,184.7,-59.92,nan,3.55,2017
WINCANTON PLC,Industrial Transportation,Transportation Services,288.94,232.5,nan,nan,4.52,2018
WINDAR PHOTONICS PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,32.27,72.5,1.38,-7.46,nan,2017
WISHBONE GOLD PLC,Mining,Gold Mining,2.94,0.11,0.05,nan,nan,2017
WITAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1854.67,1030,1109.85,nan,1.95,2017
WITAN PACIFIC INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,201.83,323,nan,nan,1.6,2018
WIZZ AIR HOLDINGS PLC,Travel &amp; Leisure,Airlines,2299.84,3218,1461.3,-76.29,nan,2018
WOOD GROUP (JOHN) PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,3602.62,541,-215.57,33.58,3.91,2017
WOODFORD PATIENT CAPITAL TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,688.89,83.4,97.37,nan,-3.9,2017
WORKSPACE GROUP PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,1746.98,973,1044.83,nan,2.76,2018
WORLDWIDE HEALTHCARE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1413.94,2670,nan,nan,0.73,2018
WPP PLC,Media,Media Agencies,10788.59,843.6,-431.37,47.22,4.42,2017
WYG PLC,Support Services,Business Support Services,11.73,15.25,4.8,24.45,5.14,2018
WYNNSTAY GROUP PLC,Food Producers,Farming &amp; Fishing,89.96,452.5,361.21,-5.28,2.55,2017
X5 RETAIL GROUP N.V,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,5669.85,26.47,63597.62,105.21,nan,2017
XAAR PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,118.5,148.2,139.53,nan,2.74,2017
XEROS TECHNOLOGY GROUP PLC,Industrial Engineering,Industrial Machinery,32.64,12.7,35.42,nan,nan,2017
XLMEDIA PLC,Media,Media Agencies,168.99,53.7,12.56,-28.72,2.96,2017
XP POWER LIMITED,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,396.24,2050,270.76,nan,2.27,2017
XPEDIATOR PLC,Industrial Transportation,Transportation Services,60.84,47,158.99,-10.35,nan,2017
XPS PENSIONS GROUP PLC,Financial Services,Investment Services,281.33,139,-30.75,29.75,961.83,2018
XTRACT RESOURCES PLC,Mining,Gold Mining,2.98,0.85,0.37,nan,nan,2017
YELLOW CAKE PLC,Industrial Metals &amp; Mining,Nonferrous Metals,182.06,238.35,nan,nan,nan,nan
YOLO LEISURE AND TECHNOLOGY PLC,Financial Services,Specialty Finance,1.95,3.75,1.02,nan,nan,2017
YOUGOV PLC,Media,Media Agencies,501.01,474.5,25.32,nan,0.62,2018
YOUNG &amp; CO'S BREWERY PLC,Travel &amp; Leisure,Restaurants &amp; Bars,464.96,1530,1083.38,25.58,1.22,2018
YOUNG &amp; CO'S BREWERY PLC (AIM),Travel &amp; Leisure,Restaurants &amp; Bars,204.05,1040,1083.38,25.58,1.49,2018
YOURGENE HEALTH PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,55.65,12.12,nan,-456.97,nan,2018
YU GROUP PLC,"Gas, Water &amp; Multiutilities",Multiutilities,17.89,111,nan,nan,nan,2017
ZAMBEEF PRODUCTS PLC,Food Producers,Food Products,30.96,10.4,851.57,nan,0,2018
ZANAGA IRON ORE COMPANY LIMITED,Industrial Metals &amp; Mining,Iron &amp; Steel,30.66,11.25,11.32,nan,nan,2017
ZIBAO METALS RECYCLING HOLDINGS PLC,Industrial Metals &amp; Mining,Nonferrous Metals,0.43,0.35,40.99,nan,nan,2018
ZINC MEDIA GROUP PLC,Media,Media Agencies,6.03,0.42,-0.13,1.1,nan,2018
ZOLTAV RESOURCES INC,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,19.87,14,3224.3,24.23,nan,2017
ZOO DIGITAL GROUP PLC,Software &amp; Computer Services,Software,50.61,68.5,-4.03,71.6,nan,2018
ZOTEFOAMS PLC,Chemicals,Specialty Chemicals,293.67,612,118,30.39,1.3,2017
ZYTRONIC PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,54.15,335,156.94,nan,4.93,2018
